epoch,accuracy,loss,val_accuracy,val_loss
0,0.01923077,4.645094248,0.010752688,4.66305542
1,0.06122449,4.558238759,0.022222223,4.597711563
2,0.05867347,4.513605741,0.021505376,4.673431873
3,0.05867347,4.455254623,0.011111111,4.840591431
4,0.05612245,4.470600576,0.010752688,4.710274696
5,0.06887755,4.327642908,0.033333335,4.711191177
6,0.04336735,4.497610715,0.010752688,4.596811295
7,0.05867347,4.362441773,0.022222223,4.605557442
8,0.06632653,4.298046852,0.010752688,4.728731155
9,0.05102041,4.25595083,0.022222223,4.921304703
10,0.071428575,3.99157022,0.021505376,4.669253349
11,0.04336735,4.020916652,0.022222223,4.3072052
12,0.091836736,3.793868075,0.064516127,4.228824615
13,0.1505102,3.580714099,0.06666667,4.415167332
14,0.25240386,3.161903822,0.086021505,4.901463985
15,0.34855768,2.880104707,0.032258064,5.0278368
16,0.4719388,2.290227588,0.044444446,5.44400692
17,0.55867344,1.898684901,0.086021505,5.47005558
18,0.5625,1.744793699,0.021505376,5.812455654
19,0.6811224,1.2887161,0.055555556,8.591605186
20,0.78061223,0.929685785,0.086021505,8.05975914
