,FileName,Label,ClassName
0,C:\Users\nivmizrahi\PycharmProjects\PRO\books\H G Wells\H+G+Wells-11640-11640.Txt,47,H G Wells
1,C:\Users\nivmizrahi\PycharmProjects\PRO\books\O Henry\O+Henry-1646-1646-8.Txt,77,O Henry
2,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Elizabeth\Elizabeth-16389-16389-8.Txt,25,Elizabeth
3,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anthony Trollope\Anthony+Trollope-19500-19500-8.Txt,5,Anthony Trollope
4,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Martha Finley\Martha+Finley-14874-14874-8.Txt,70,Martha Finley
5,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Arnold Bennett\Arnold+Bennett-5247-Thldw10.Txt,7,Arnold Bennett
6,C:\Users\nivmizrahi\PycharmProjects\PRO\books\E Phillips Oppenheim\E+Phillips+Oppenheim-10371-10371-10371.Txt,18,E Phillips Oppenheim
7,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Walter Scott\Walter+Scott-4964-Wvrl110A.Txt,98,Walter Scott
8,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Benjamin Disraeli\Benjamin+Disraeli-20004-20004-8.Txt,10,Benjamin Disraeli
9,C:\Users\nivmizrahi\PycharmProjects\PRO\books\H G Wells\H+G+Wells-11696-11696.Txt,47,H G Wells
10,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emily Sarah Holt\Emily+Sarah+Holt-22942-22942-8.Txt,30,Emily Sarah Holt
11,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Gustave Flaubert\Gustave+Flaubert-1290-1290.Txt,45,Gustave Flaubert
12,C:\Users\nivmizrahi\PycharmProjects\PRO\books\George Gissing\George+Gissing-1709-1709.Txt,39,George Gissing
13,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Andre Norton\Andre+Norton-23624-23624-8.Txt,1,Andre Norton
14,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Robert Louis Stevenson\Robert+Louis+Stevenson-30700-30700-8.Txt,85,Robert Louis Stevenson
15,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R M Ballantyne\R+M+Ballantyne-23380-23380.Txt,81,R M Ballantyne
16,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anthony Trollope\Anthony+Trollope-3409-3409-8.Txt,5,Anthony Trollope
17,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Sewell Ford\Sewell+Ford-20629-20629.Txt,88,Sewell Ford
18,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Henry Rider Haggard\Henry+Rider+Haggard-2857-2857-8.Txt,49,Henry Rider Haggard
19,C:\Users\nivmizrahi\PycharmProjects\PRO\books\William Carleton\William+Carleton-16012-16012.Txt,101,William Carleton
20,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Charlotte Mary Yonge\Charlotte+Mary+Yonge-4596-4596.Txt,14,Charlotte Mary Yonge
21,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Max Brand\Max+Brand-11093-11093.Txt,75,Max Brand
22,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R M Ballantyne\R+M+Ballantyne-21736-21736.Txt,81,R M Ballantyne
23,C:\Users\nivmizrahi\PycharmProjects\PRO\books\George Meredith\George+Meredith-4405-4405.Txt,41,George Meredith
24,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Angela Brazil\Angela+Brazil-18505-18505-8.Txt,3,Angela Brazil
25,C:\Users\nivmizrahi\PycharmProjects\PRO\books\L T Meade\L+T+Meade-28862-28862-8.Txt,66,L T Meade
26,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Victor Hugo\Victor+Hugo-12587-12587-8.Txt,97,Victor Hugo
27,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-4792-4792.Txt,36,G A Henty
28,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Daniel Defoe\Daniel+Defoe-14444-14444-8.Txt,15,Daniel Defoe
29,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Homer\Homer-1727-Dyssy10.Txt,52,Homer
30,C:\Users\nivmizrahi\PycharmProjects\PRO\books\John Wood Campbell\John+Wood+Campbell-20988-20988.Txt,61,John Wood Campbell
31,C:\Users\nivmizrahi\PycharmProjects\PRO\books\George Gissing\George+Gissing-4526-4526.Txt,39,George Gissing
32,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-28357-28357-8.Txt,36,G A Henty
33,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emily Sarah Holt\Emily+Sarah+Holt-27958-27958.Txt,30,Emily Sarah Holt
34,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Elizabeth Cleghorn Gaskell\Elizabeth+Cleghorn+Gaskell-4537-4537.Txt,26,Elizabeth Cleghorn Gaskell
35,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-21986-21986-8.Txt,36,G A Henty
36,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Charlotte Mary Yonge\Charlotte+Mary+Yonge-2942-2942.Txt,14,Charlotte Mary Yonge
37,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emile Zola\Emile+Zola-15900-15900.Txt,29,Emile Zola
38,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Robert Hugh Benson\Robert+Hugh+Benson-16288-16288-8.Txt,84,Robert Hugh Benson
39,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Washington Irving\Washington+Irving-2048-Sbogc10.Txt,99,Washington Irving
40,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-21979-21979.Txt,36,G A Henty
41,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Washington Irving\Washington+Irving-13514-13514-8.Txt,99,Washington Irving
42,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Henry Rider Haggard\Henry+Rider+Haggard-2602-2602-8.Txt,49,Henry Rider Haggard
43,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anna Katharine Green\Anna+Katharine+Green-1857-1857.Txt,4,Anna Katharine Green
44,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emerson Hough\Emerson+Hough-13384-13384-8.Txt,27,Emerson Hough
45,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-11058-11058.Txt,36,G A Henty
46,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Herman Melville\Herman+Melville-10712-10712.Txt,51,Herman Melville
47,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Walter Scott\Walter+Scott-14860-14860-8.Txt,98,Walter Scott
48,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Joseph A Altsheler\Joseph+A+Altsheler-19477-19477-8.Txt,62,Joseph A Altsheler
49,C:\Users\nivmizrahi\PycharmProjects\PRO\books\E Phillips Oppenheim\E+Phillips+Oppenheim-10534-10534.Txt,18,E Phillips Oppenheim
50,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emmuska Orczy Orczy\Emmuska+Orczy+Orczy-12175-12175-8.Txt,32,Emmuska Orczy Orczy
51,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R Austin Freeman\R+Austin+Freeman-11128-11128.Txt,80,R Austin Freeman
52,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Frederick Marryat\Frederick+Marryat-24470-24470.Txt,35,Frederick Marryat
53,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Robert W Chambers\Robert+W+Chambers-28295-28295-8.Txt,86,Robert W Chambers
54,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Fergus Hume\Fergus+Hume-2868-2868.Txt,33,Fergus Hume
55,C:\Users\nivmizrahi\PycharmProjects\PRO\books\O Henry\O+Henry-1595-8Whrl11.Txt,77,O Henry
56,C:\Users\nivmizrahi\PycharmProjects\PRO\books\George Gissing\George+Gissing-4302-4302.Txt,39,George Gissing
57,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Frances Hodgson Burnett\Frances+Hodgson+Burnett-1550-1550.Txt,34,Frances Hodgson Burnett
58,C:\Users\nivmizrahi\PycharmProjects\PRO\books\E Phillips Oppenheim\E+Phillips+Oppenheim-5815-5815.Txt,18,E Phillips Oppenheim
59,C:\Users\nivmizrahi\PycharmProjects\PRO\books\John Galsworthy\John+Galsworthy-2774-2774.Txt,59,John Galsworthy
